flight_id,flight_no,city_depart,city_arrive,scheduled_departure,scheduled_arrival,fl_month,flight_minute,model,class_available,seat_available,ticket_no,class_occupied,seat_occupied,ticket_price
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,3A,5432333357   ,Business,3A,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,1F,5432349514   ,Business,1F,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,3D,5432349550   ,Business,3D,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,1D,5432349714   ,Business,1D,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,1C,5434147189   ,Business,1C,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,2D,5435171152   ,Business,2D,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,1A,5435171158   ,Business,1A,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,3C,5435171160   ,Business,3C,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,2C,5435171165   ,Business,2C,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,2F,5435489477   ,Business,2F,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,2A,5435722639   ,Business,2A,36600.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Business,3F,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,9B,5432052084   ,Economy,9B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,15D,5432052085   ,Economy,15D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,10D,5432052086   ,Economy,10D,12200.00
